dimension,retrieval_r1,retrieval_r5,retrieval_mrr,sts_spearman
768,0.8675000071525574,0.9700000286102295,0.9095342755317688,0.34503481225996024
512,0.8550000190734863,0.9649999737739563,0.9014608860015869,0.34407564178429434
256,0.8274999856948853,0.9524999856948853,0.8832637071609497,0.33086326109582953
128,0.824999988079071,0.9449999928474426,0.8762626051902771,0.32993579996251216
